row_id,row_code,study_year,study_country,study_continent,page_id,page_link,author_id,affiliation_text,affiliation_country,affiliation_type,affiliation_extra_info,affiliation_continent,uniqueauthor,lead_author
29,Africa16,2017,South Africa,Africa,7390,https://www.conservationevidence.com/individual-study/7390,5,"University of the Witwatersrand, Johannesburgdisabled, Johannesburg, South Africa",South Africa,University,,Africa,7390 5,1
30,Africa17,2013,Cameroon,Africa,7947,https://www.conservationevidence.com/individual-study/7947,1,"Institute of Environmental Sciences, Leiden University, P.O. Box 9518, 2300RA Leiden, The Netherlands.",Netherlands,University,,Europe,7947 1,1
31,Africa17,2013,Cameroon,Africa,7947,https://www.conservationevidence.com/individual-study/7947,2,"Institute of Environmental Sciences, Leiden University, P.O. Box 9518, 2300RA Leiden, The Netherlands.",Netherlands,University,,Europe,7947 2,0
32,Africa17,2013,Cameroon,Africa,7947,https://www.conservationevidence.com/individual-study/7947,3,"Department of Nature Conservation, Tshwane University of Technology, Pretoria, South Africa",South Africa,University,,Africa,7947 3,0
33,Africa17,2013,Cameroon,Africa,7947,https://www.conservationevidence.com/individual-study/7947,4,"Institute of Environmental Sciences, Leiden University, P.O. Box 9518, 2300RA Leiden, The Netherlands.",Netherlands,University,,Europe,7947 4,1
34,Africa18,2016,Senegal,Africa,7349,https://www.conservationevidence.com/individual-study/7349,1,"Estación Experimental de
Zonas Áridas (CSIC), Crta. Sacramento sn, 04120-La Cañada de S.
Urbano, Almería, Spain",Spain,Government,,Europe,7349 1,1
35,Africa18,2016,Senegal,Africa,7349,https://www.conservationevidence.com/individual-study/7349,2,"Estación Experimental de
Zonas Áridas (CSIC), Crta. Sacramento sn, 04120-La Cañada de S.
Urbano, Almería, Spain",Spain,Government,,Europe,7349 2,0
36,Africa18,2016,Senegal,Africa,7349,https://www.conservationevidence.com/individual-study/7349,3,"Direction of National Parks, Hann, Dakar, Senegal",Senegal,Government,,Africa,7349 3,0
37,Africa18,2016,Senegal,Africa,7349,https://www.conservationevidence.com/individual-study/7349,4,"Direction of National Parks, Hann, Dakar, Senegal",Senegal,Government,,Africa,7349 4,0
38,Africa18,2016,Senegal,Africa,7349,https://www.conservationevidence.com/individual-study/7349,5,"Direction of National Parks, Hann, Dakar, Senegal",Senegal,Government,,Africa,7349 5,0
39,Africa18,2016,Senegal,Africa,7349,https://www.conservationevidence.com/individual-study/7349,6,"Direction of National Parks, Hann, Dakar, Senegal",Senegal,Government,,Africa,7349 6,0
40,Africa18,2016,Senegal,Africa,7349,https://www.conservationevidence.com/individual-study/7349,7," Parc Zoologic, Parc
de la Ciutadella s/n, 08003 Barcelona, Spain;",Spain,NGO,Museum/zoo?,Europe,7349 7,0
41,Africa18,2016,Senegal,Africa,7349,https://www.conservationevidence.com/individual-study/7349,8,"Universitat
Autònoma de Barcelona, 08193 Bellaterra (Cerdanyola del Vallés),
Spain",Spain,University,,Europe,7349 8,1
42,Africa19,2010,Zimbabwe,Africa,7676,https://www.conservationevidence.com/individual-study/7676,1,"CIRAD Zimbabwe, PO Box 1378, Harare, Zimbabwe",Zimbabwe,Government,,Africa,7676 1,1
43,Africa19,2010,Zimbabwe,Africa,7676,https://www.conservationevidence.com/individual-study/7676,2,"BIO-HUB, 3 Arcturus Road, Highlands, Harare, Zimbabwe",Zimbabwe,NGO,,Africa,7676 2,0
44,Africa19,2010,Zimbabwe,Africa,7676,https://www.conservationevidence.com/individual-study/7676,3,"AWMC (Pvt) Ltd, Suite 1-5 Murandy Square West Newlands Harare, Zimbabwe",Zimbabwe,Private,,Africa,7676 3,0
45,Africa19,2010,Zimbabwe,Africa,7676,https://www.conservationevidence.com/individual-study/7676,4,"CAMPFIRE Association, Mukuvisi Woodland, PO Box 661, Harare, Zimbabwe",Zimbabwe,NGO,,Africa,7676 4,0
46,Africa19,2010,Zimbabwe,Africa,7676,https://www.conservationevidence.com/individual-study/7676,5,"PWMA, PO Box CY 140 Causeway, Harare, Zimbabwe",Zimbabwe,Government,,Africa,7676 5,1
