rowid,sampid,Lat,Long,Link (URL),Hyperlink,Language,Reference Type,Authors (separate with//),study_year,Journal,Volume,Issue,Pages,study_country,study_continent,authorid,affiliation_country,affiliation_continent,uniqueauthor,lead_author
19,92,7.541111111,0.541666667,http://journals.openedition.org/vertigo/17107,http://journals.openedition.org/vertigo/17107,French,Journal article,Bareremna Afelu // Kokou J?r?mie Fontodji // Kouami Kokou,2016,Vertigo,16,1,/,Togo,Africa,2,Togo,Africa,92 2,0
20,92,7.541111111,0.541666667,http://journals.openedition.org/vertigo/17108,http://journals.openedition.org/vertigo/17108,French,Journal article,Bareremna Afelu // Kokou J?r?mie Fontodji // Kouami Kokou,2016,Vertigo,16,1,/,Togo,Africa,3,Togo,Africa,92 3,1
21,31,11.34694444,3.4825,https://revues.cirad.fr/index.php/BFT/article/view/20514,https://revues.cirad.fr/index.php/BFT/article/view/20514,French,Journal article,"Bonde, Loyapin/ Ouedraogo, Oumarou/ Kagembega, Francois/ Boussim, Joseph I.",2013,BOIS ET FORETS DES TROPIQUES,318,,15-25,Benin,Africa,1,Burkina Faso,Africa,31 1,1
22,31,11.34694444,3.4825,https://revues.cirad.fr/index.php/BFT/article/view/20515,https://revues.cirad.fr/index.php/BFT/article/view/20515,French,Journal article,"Bonde, Loyapin/ Ouedraogo, Oumarou/ Kagembega, Francois/ Boussim, Joseph I.",2013,BOIS ET FORETS DES TROPIQUES,319,,15-26,Benin,Africa,2,Burkina Faso,Africa,31 2,0
23,31,11.34694444,3.4825,https://revues.cirad.fr/index.php/BFT/article/view/20516,https://revues.cirad.fr/index.php/BFT/article/view/20516,French,Journal article,"Bonde, Loyapin/ Ouedraogo, Oumarou/ Kagembega, Francois/ Boussim, Joseph I.",2013,BOIS ET FORETS DES TROPIQUES,320,,15-27,Benin,Africa,3,Burkina Faso,Africa,31 3,0
24,31,11.34694444,3.4825,https://revues.cirad.fr/index.php/BFT/article/view/20517,https://revues.cirad.fr/index.php/BFT/article/view/20517,French,Journal article,"Bonde, Loyapin/ Ouedraogo, Oumarou/ Kagembega, Francois/ Boussim, Joseph I.",2013,BOIS ET FORETS DES TROPIQUES,321,,15-28,Benin,Africa,4,Burkina Faso,Africa,31 4,1
25,95,8.948603,1.057436,https://revues.cirad.fr/index.php/BFT/article/view/20400,https://revues.cirad.fr/index.php/BFT/article/view/20400,French,Journal article,"Dourma, Marra/ Wala, Kperkouma/ Bellefontaine, Ronald/ Batawila, Komlan/ Guelly, Kudzo Atsu/ Akpagana, Koffi",2009,BOIS ET FORETS DES TROPIQUES,302,,43970,Togo,Africa,1,Togo,Africa,95 1,1
26,95,8.948603,1.057436,https://revues.cirad.fr/index.php/BFT/article/view/20401,https://revues.cirad.fr/index.php/BFT/article/view/20401,French,Journal article,"Dourma, Marra/ Wala, Kperkouma/ Bellefontaine, Ronald/ Batawila, Komlan/ Guelly, Kudzo Atsu/ Akpagana, Koffi",2009,BOIS ET FORETS DES TROPIQUES,302,,43970,Togo,Africa,2,Togo,Africa,95 2,0
27,95,8.948603,1.057436,https://revues.cirad.fr/index.php/BFT/article/view/20402,https://revues.cirad.fr/index.php/BFT/article/view/20402,French,Journal article,"Dourma, Marra/ Wala, Kperkouma/ Bellefontaine, Ronald/ Batawila, Komlan/ Guelly, Kudzo Atsu/ Akpagana, Koffi",2009,BOIS ET FORETS DES TROPIQUES,302,,43970,Togo,Africa,3,France,Europe,95 3,0
28,95,8.948603,1.057436,https://revues.cirad.fr/index.php/BFT/article/view/20403,https://revues.cirad.fr/index.php/BFT/article/view/20403,French,Journal article,"Dourma, Marra/ Wala, Kperkouma/ Bellefontaine, Ronald/ Batawila, Komlan/ Guelly, Kudzo Atsu/ Akpagana, Koffi",2009,BOIS ET FORETS DES TROPIQUES,302,,43970,Togo,Africa,4,Togo,Africa,95 4,0
29,95,8.948603,1.057436,https://revues.cirad.fr/index.php/BFT/article/view/20404,https://revues.cirad.fr/index.php/BFT/article/view/20404,French,Journal article,"Dourma, Marra/ Wala, Kperkouma/ Bellefontaine, Ronald/ Batawila, Komlan/ Guelly, Kudzo Atsu/ Akpagana, Koffi",2009,BOIS ET FORETS DES TROPIQUES,302,,43970,Togo,Africa,5,Togo,Africa,95 5,0
30,95,8.948603,1.057436,https://revues.cirad.fr/index.php/BFT/article/view/20405,https://revues.cirad.fr/index.php/BFT/article/view/20405,French,Journal article,"Dourma, Marra/ Wala, Kperkouma/ Bellefontaine, Ronald/ Batawila, Komlan/ Guelly, Kudzo Atsu/ Akpagana, Koffi",2009,BOIS ET FORETS DES TROPIQUES,302,,43970,Togo,Africa,6,Togo,Africa,95 6,1
31,4,26.8221545,11.143466,https://revues.cirad.fr/index.php/BFT/article/view/20519,https://revues.cirad.fr/index.php/BFT/article/view/20519,French,Journal article,"Duponnois, Robin/ Baudoin, Ezekiel/ Sanguin, Herve/ Thioulouse, Jean/ Le Roux, Christine/ Tournier, Estelle/ Galiana, Antoine/ Prin, Yves/ Dreyfus, Bernard",2013,BOIS ET FORETS DES TROPIQUES,318,,59-65,Libya,Africa,1,France,Europe,4 1,1
32,4,26.8221545,11.143466,https://revues.cirad.fr/index.php/BFT/article/view/20519,https://revues.cirad.fr/index.php/BFT/article/view/20519,French,Journal article,"Duponnois, Robin/ Baudoin, Ezekiel/ Sanguin, Herve/ Thioulouse, Jean/ Le Roux, Christine/ Tournier, Estelle/ Galiana, Antoine/ Prin, Yves/ Dreyfus, Bernard",2013,BOIS ET FORETS DES TROPIQUES,318,,59-65,Libya,Africa,2,France,Europe,4 2,0
33,4,26.8221545,11.143466,https://revues.cirad.fr/index.php/BFT/article/view/20519,https://revues.cirad.fr/index.php/BFT/article/view/20519,French,Journal article,"Duponnois, Robin/ Baudoin, Ezekiel/ Sanguin, Herve/ Thioulouse, Jean/ Le Roux, Christine/ Tournier, Estelle/ Galiana, Antoine/ Prin, Yves/ Dreyfus, Bernard",2013,BOIS ET FORETS DES TROPIQUES,318,,59-65,Libya,Africa,3,France,Europe,4 3,0
34,4,26.8221545,11.143466,https://revues.cirad.fr/index.php/BFT/article/view/20519,https://revues.cirad.fr/index.php/BFT/article/view/20519,French,Journal article,"Duponnois, Robin/ Baudoin, Ezekiel/ Sanguin, Herve/ Thioulouse, Jean/ Le Roux, Christine/ Tournier, Estelle/ Galiana, Antoine/ Prin, Yves/ Dreyfus, Bernard",2013,BOIS ET FORETS DES TROPIQUES,318,,59-65,Libya,Africa,4,France,Europe,4 4,0
35,4,26.8221545,11.143466,https://revues.cirad.fr/index.php/BFT/article/view/20519,https://revues.cirad.fr/index.php/BFT/article/view/20519,French,Journal article,"Duponnois, Robin/ Baudoin, Ezekiel/ Sanguin, Herve/ Thioulouse, Jean/ Le Roux, Christine/ Tournier, Estelle/ Galiana, Antoine/ Prin, Yves/ Dreyfus, Bernard",2013,BOIS ET FORETS DES TROPIQUES,318,,59-65,Libya,Africa,5,France,Europe,4 5,0
36,4,26.8221545,11.143466,https://revues.cirad.fr/index.php/BFT/article/view/20519,https://revues.cirad.fr/index.php/BFT/article/view/20519,French,Journal article,"Duponnois, Robin/ Baudoin, Ezekiel/ Sanguin, Herve/ Thioulouse, Jean/ Le Roux, Christine/ Tournier, Estelle/ Galiana, Antoine/ Prin, Yves/ Dreyfus, Bernard",2013,BOIS ET FORETS DES TROPIQUES,318,,59-65,Libya,Africa,6,France,Europe,4 6,0
37,4,26.8221545,11.143466,https://revues.cirad.fr/index.php/BFT/article/view/20519,https://revues.cirad.fr/index.php/BFT/article/view/20519,French,Journal article,"Duponnois, Robin/ Baudoin, Ezekiel/ Sanguin, Herve/ Thioulouse, Jean/ Le Roux, Christine/ Tournier, Estelle/ Galiana, Antoine/ Prin, Yves/ Dreyfus, Bernard",2013,BOIS ET FORETS DES TROPIQUES,318,,59-65,Libya,Africa,7,France,Europe,4 7,0
38,4,26.8221545,11.143466,https://revues.cirad.fr/index.php/BFT/article/view/20519,https://revues.cirad.fr/index.php/BFT/article/view/20519,French,Journal article,"Duponnois, Robin/ Baudoin, Ezekiel/ Sanguin, Herve/ Thioulouse, Jean/ Le Roux, Christine/ Tournier, Estelle/ Galiana, Antoine/ Prin, Yves/ Dreyfus, Bernard",2013,BOIS ET FORETS DES TROPIQUES,318,,59-65,Libya,Africa,8,France,Europe,4 8,0
39,4,26.8221545,11.143466,https://revues.cirad.fr/index.php/BFT/article/view/20519,https://revues.cirad.fr/index.php/BFT/article/view/20519,French,Journal article,"Duponnois, Robin/ Baudoin, Ezekiel/ Sanguin, Herve/ Thioulouse, Jean/ Le Roux, Christine/ Tournier, Estelle/ Galiana, Antoine/ Prin, Yves/ Dreyfus, Bernard",2013,BOIS ET FORETS DES TROPIQUES,318,,59-65,Libya,Africa,9,France,Europe,4 9,1
40,13,8.466667,30.9,https://www.persee.fr/doc/ecmed_0153-8756_2013_num_39_1_1307,https://www.persee.fr/doc/ecmed_0153-8756_2013_num_39_1_1307,French,Journal article,Farid El Wahidi // Mounia El Alaoui El Fels,2013,Ecologia Mediterranea,39,1,209-218,South Sudan,Africa,1,Morocco,Africa,13 1,1
41,13,8.466667,30.9,https://www.persee.fr/doc/ecmed_0153-8756_2013_num_39_1_1307,https://www.persee.fr/doc/ecmed_0153-8756_2013_num_39_1_1307,French,Journal article,Farid El Wahidi // Mounia El Alaoui El Fels,2013,Ecologia Mediterranea,39,1,209-218,South Sudan,Africa,2,Morocco,Africa,13 2,1
42,26,10.03333333,32.13333333,https://hal.archives-ouvertes.fr/hal-03533295/,https://hal.archives-ouvertes.fr/hal-03533295/,French,Journal article,Gamoun/Ouled Belgacem/Hanchi/Neffati/Gillet,2012,Revue d'?cologie,67,3,271-282,Tunisia,Africa,1,Tunisia,Africa,26 1,1
43,26,10.03333333,32.13333333,https://hal.archives-ouvertes.fr/hal-03533295/,https://hal.archives-ouvertes.fr/hal-03533295/,French,Journal article,Gamoun/Ouled Belgacem/Hanchi/Neffati/Gillet,2012,Revue d'?cologie,67,3,271-283,Tunisia,Africa,2,Tunisia,Africa,26 2,0
44,26,10.03333333,32.13333333,https://hal.archives-ouvertes.fr/hal-03533295/,https://hal.archives-ouvertes.fr/hal-03533295/,French,Journal article,Gamoun/Ouled Belgacem/Hanchi/Neffati/Gillet,2012,Revue d'?cologie,67,3,271-284,Tunisia,Africa,3,Tunisia,Africa,26 3,0
45,26,10.03333333,32.13333333,https://hal.archives-ouvertes.fr/hal-03533295/,https://hal.archives-ouvertes.fr/hal-03533295/,French,Journal article,Gamoun/Ouled Belgacem/Hanchi/Neffati/Gillet,2012,Revue d'?cologie,67,3,271-285,Tunisia,Africa,4,Tunisia,Africa,26 4,0
46,26,10.03333333,32.13333333,https://hal.archives-ouvertes.fr/hal-03533295/,https://hal.archives-ouvertes.fr/hal-03533295/,French,Journal article,Gamoun/Ouled Belgacem/Hanchi/Neffati/Gillet,2012,Revue d'?cologie,67,3,271-286,Tunisia,Africa,5,France,Europe,26 5,1
47,41,33.49972222,0.283055556,https://hal.archives-ouvertes.fr/hal-03530483/,https://hal.archives-ouvertes.fr/hal-03530483/,French,Journal article,Khalid/Benabdeli/Morsli,2015,Revue d'?cologie,70,1,16-31,Algeria,Africa,1,Algeria,Africa,41 1,1
48,41,33.49972222,0.283055556,https://hal.archives-ouvertes.fr/hal-03530483/,https://hal.archives-ouvertes.fr/hal-03530483/,French,Journal article,Khalid/Benabdeli/Morsli,2015,Revue d'?cologie,70,1,16-32,Algeria,Africa,2,Algeria,Africa,41 2,0
49,41,33.49972222,0.283055556,https://hal.archives-ouvertes.fr/hal-03530483/,https://hal.archives-ouvertes.fr/hal-03530483/,French,Journal article,Khalid/Benabdeli/Morsli,2015,Revue d'?cologie,70,1,16-33,Algeria,Africa,3,Algeria,Africa,41 3,1
50,66,12.892331,39.501166,https://www.elibrary.ru/item.asp?id=32467360,https://www.elibrary.ru/item.asp?id=32467360,Russian,Journal article,"Kide M. Gebremedihin, Emiru Birhane , Tewodros Tadesse, Hailemariam Gbrewahid",2018,Nature Conservation Research,3,1,43850,Ethiopia,Africa,1,Ethiopia,Africa,66 1,1
51,66,12.892331,39.501166,https://www.elibrary.ru/item.asp?id=32467360,https://www.elibrary.ru/item.asp?id=32467360,Russian,Journal article,"Kide M. Gebremedihin, Emiru Birhane , Tewodros Tadesse, Hailemariam Gbrewahid",2018,Nature Conservation Research,3,1,43850,Ethiopia,Africa,2,Ethiopia,Africa,66 2,0
